k,d
0.0,1.6399999999999997
1.0,1.0691999999999997
2.0,0.6708239999999996
3.0,0.5505548399999995
4.0,0.4648810319999997
5.0,0.3988679254559997
6.0,0.36279918185147964
7.0,0.303511503505003
8.0,0.2841676741328303
9.0,0.2665615759735527
10.0,0.2386929090638995
11.0,0.22970639387312397
12.0,0.20895613391885604
13.0,0.19664071327579125
14.0,0.18729752203857708
15.0,0.17379415207240756
16.0,0.16861267123654256
17.0,0.15612058098869475
18.0,0.15052367887365015
19.0,0.14347986622098347
20.0,0.1363463448345167
21.0,0.13247503318474352
22.0,0.12536481508203867
23.0,0.1213142341637814
24.0,0.11535528065533851
25.0,0.11133083781882536
26.0,0.10838816715020488
27.0,0.10428102353918095
28.0,0.10117329538203584
29.0,0.09714799097322335
30.0,0.09401733265458745
31.0,0.09116213983504048
32.0,0.08870245617928055
33.0,0.0862338067672122
34.0,0.08373050479606559
35.0,0.08115186207052855
36.0,0.0786600133102241
37.0,0.07672841423506799
38.0,0.0744760684098845
39.0,0.07299841951095043
40.0,0.07064918643740103
41.0,0.06909172551233375
42.0,0.06671370180383503
43.0,0.06511222949154738
44.0,0.06360825718793095
45.0,0.06113817748776296
46.0,0.060412627280475965
47.0,0.05794746078196854
48.0,0.05712363276436155
49.0,0.05496279753057813
50.0,0.0538084914053881
51.0,0.051919247091563786
52.0,0.0505192765213838
53.0,0.04887103922857042
54.0,0.04729565705521194
55.0,0.045911980966544905
56.0,0.04416719114902268
57.0,0.04313766800979431
58.0,0.041179738483320905
59.0,0.04041692010202775
60.0,0.038909823386769044
61.0,0.037774694454438616
62.0,0.03665209083845786
63.0,0.03561147359573122
64.0,0.03463127326165427
65.0,0.03362945299701345
66.0,0.03296368166853081
67.0,0.03169430212662194
68.0,0.031244283017892782
69.0,0.029899365716133497
70.0,0.02951461012661749
71.0,0.028414179166113773
72.0,0.027799799646818224
73.0,0.02691843387559445
74.0,0.026119599030959756
75.0,0.025645250787407536
76.0,0.024802011343764252
77.0,0.024302459674273136
78.0,0.023639989422805874
79.0,0.022938876526345298
80.0,0.0224448437793785
81.0,0.021590716482477457
82.0,0.021244590485348547
83.0,0.02028962336397494
84.0,0.020048460107432386
85.0,0.01912392092269899
86.0,0.018868819627000266
87.0,0.01825290911623556
88.0,0.017779900295867013
89.0,0.017295098136506537
90.0,0.016665235305226123
91.0,0.016350423510273715
92.0,0.015572077985326616
93.0,0.015361739529864749
94.0,0.014604915659350404
95.0,0.014394944732594728
96.0,0.013665316583710452
97.0,0.01346444133103708
98.0,0.012763569844504663
99.0,0.012574707406855956
100.0,0.01194247914987534
101.0,0.011727179041056912
102.0,0.01115697215689615
103.0,0.010922308729798158
104.0,0.010407811528030608
105.0,0.010160079251420817
106.0,0.009695560952443283
107.0,0.009440124538861394
108.0,0.009020471314079015
109.0,0.008761769835352318
110.0,0.00838294843616516
111.0,0.008164361334481396
112.0,0.007796534515858156
113.0,0.007597624375454082
114.0,0.007247791896912936
115.0,0.007061347872494128
116.0,0.006753537830983203
117.0,0.006555586497552612
118.0,0.006284269242545326
119.0,0.006079897376152887
120.0,0.005840474624032033
121.0,0.0056335243302994
122.0,0.005422094564887181
123.0,0.005215506371124667
124.0,0.005028706595942456
125.0,0.00482474643332631
126.0,0.004659647885070228
127.0,0.004460058535279088
128.0,0.00431409736560695
129.0,0.0041202030734063255
130.0,0.003991615852225183
131.0,0.0038040738946970576
132.0,0.003691356850673344
133.0,0.0035104635924128047
134.0,0.0034119745210929864
135.0,0.003238021893554488
136.0,0.0031521655448829566
137.0,0.002985424298157957
138.0,0.0029107127961651713
139.0,0.00275139782547007
140.0,0.002686475377219777
141.0,0.002534726963558387
142.0,0.0024783760789380826
143.0,0.0023342559641892358
144.0,0.0022853934537347964
145.0,0.0021504962751780488
146.0,0.0021065572958048895
147.0,0.00198268686514258
148.0,0.0019409459143249208
149.0,0.0018272466355679917
150.0,0.0017876842910515833
151.0,0.0016833663924360476
152.0,0.0016459426805054411
153.0,0.0015502754299138166
154.0,0.0015149354249157643
155.0,0.0014272417723555364
156.0,0.0013939198496651928
157.0,0.001313572057448087
158.0,0.0012821951539219167
159.0,0.0012086111134104183
160.0,0.001179101244310976
161.0,0.001111741274401834
162.0,0.001084017484794475
163.0,0.0010223814744630966
164.0,0.0009963613548791272
